"ID";"QA";"Time";"Station";"Controller_Serial_Number";"Note";"Is_Re_Work";"isPaid"
147;"a1956";"2019-10-24 08:30:41";"Assembly Station";"30N004000020";"Assembler Controller Serial Number : 30N004000020";0;0
148;"a1956";"2019-10-24 08:31:26";"Assembly Station";"30N004000194";"Assembler Controller Serial Number : 30N004000194";0;0
149;"a1956";"2019-10-24 08:31:29";"Assembly Station";"30N004000402";"Assembler Controller Serial Number : 30N004000402";0;0
150;"a1956";"2019-10-24 08:31:33";"Assembly Station";"30N004000392";"Assembler Controller Serial Number : 30N004000392";0;0
151;"a1956";"2019-10-24 08:31:37";"Assembly Station";"30N004000058";"Assembler Controller Serial Number : 30N004000058";0;0
152;"a1956";"2019-10-24 08:31:41";"Assembly Station";"30N004000306";"Assembler Controller Serial Number : 30N004000306";0;0
153;"a1956";"2019-10-24 08:31:45";"Assembly Station";"30N004000206";"Assembler Controller Serial Number : 30N004000206";0;0
154;"a1956";"2019-10-24 08:31:49";"Assembly Station";"30N004000091";"Assembler Controller Serial Number : 30N004000091";0;0
155;"a1956";"2019-10-24 08:31:55";"Added to waiting list burn in";"30N004000091";"Added to burn in system.";0;0
156;"a1956";"2019-10-24 08:32:00";"Added to waiting list burn in";"30N004000206";"Added to burn in system.";0;0
157;"a1956";"2019-10-24 11:32:30";"Added to waiting list burn in";"30N004000306";"Added to burn in system.";0;0
158;"a1956";"2019-10-24 11:32:45";"Added to waiting list burn in";"30N004000058";"Added to burn in system.";0;0
159;"a1956";"2019-10-24 11:32:49";"Added to waiting list burn in";"30N004000392";"Added to burn in system.";0;0
160;"a1956";"2019-10-24 11:32:58";"Added to waiting list burn in";"30N004000402";"Added to burn in system.";0;0
161;"a1956";"2019-10-24 11:33:02";"Added to waiting list burn in";"30N004000194";"Added to burn in system.";0;0
162;"a1956";"2019-10-24 11:33:06";"Added to waiting list burn in";"30N004000020";"Added to burn in system.";0;0
163;"a1956";"2019-10-24 11:33:44";"Added to waiting list burn in";"30N004000373";"Added to burn in system.";0;0
164;"a1956";"2019-10-24 11:33:49";"Added to waiting list burn in";"30N004000314";"Added to burn in system.";0;0
165;"a1956";"2019-10-24 11:33:54";"Added to waiting list burn in";"30N004000143";"Added to burn in system.";0;0
166;"a1956";"2019-10-24 11:33:58";"Added to waiting list burn in";"30N004000225";"Added to burn in system.";0;0
167;"a1956";"2019-10-24 11:34:12";"Added to waiting list burn in";"30N004000093";"Added to burn in system.";0;0
168;"a1956";"2019-10-24 11:34:17";"Added to waiting list burn in";"30N004000374";"Added to burn in system.";0;0
169;"a1956";"2019-10-24 11:34:20";"Added to waiting list burn in";"30N004000101";"Added to burn in system.";0;0
170;"a1956";"2019-10-24 11:34:25";"Added to waiting list burn in";"30N004000141";"Added to burn in system.";0;0
171;"a1956";"2019-10-24 11:34:30";"Added to waiting list burn in";"30N004000334";"Added to burn in system.";0;0
172;"a1956";"2019-10-24 11:34:34";"Added to waiting list burn in";"30N004000188";"Added to burn in system.";0;0
173;"a1956";"2019-10-24 11:34:38";"Added to waiting list burn in";"30N004000213";"Added to burn in system.";0;0
174;"a1956";"2019-10-24 11:34:42";"Added to waiting list burn in";"30N004000367";"Added to burn in system.";0;0
175;"a1956";"2019-10-24 11:34:46";"Added to waiting list burn in";"30N004000081";"Added to burn in system.";0;0
176;"a1956";"2019-10-24 11:34:51";"Added to waiting list burn in";"30N004000211";"Added to burn in system.";0;0
177;"a1956";"2019-10-24 11:34:55";"Added to waiting list burn in";"30N004000072";"Added to burn in system.";0;0
178;"a1956";"2019-10-24 11:34:58";"Added to waiting list burn in";"30N004000346";"Added to burn in system.";0;0
179;"a1956";"2019-10-24 11:35:02";"Added to waiting list burn in";"30N004000236";"Added to burn in system.";0;0
180;"a1956";"2019-10-24 11:35:05";"Added to waiting list burn in";"30N004000118";"Added to burn in system.";0;0
181;"a1956";"2019-10-24 11:35:09";"Added to waiting list burn in";"30N004000078";"Added to burn in system.";0;0
182;"a1956";"2019-10-24 11:35:13";"Added to waiting list burn in";"30N004000239";"Added to burn in system.";0;0
183;"a1956";"2019-10-24 11:35:17";"Added to waiting list burn in";"30N004000313";"Added to burn in system.";0;0
184;"a1956";"2019-10-24 11:35:23";"Added to waiting list burn in";"30N004000126";"Added to burn in system.";0;0
185;"a1956";"2019-10-24 11:35:26";"Added to waiting list burn in";"30N004000325";"Added to burn in system.";0;0
186;"a1956";"2019-10-24 11:35:29";"Added to waiting list burn in";"30N004000110";"Added to burn in system.";0;0
187;"a1956";"2019-10-24 11:35:32";"Added to waiting list burn in";"30N004000013";"Added to burn in system.";0;0
188;"a1956";"2019-10-24 11:35:36";"Added to waiting list burn in";"30N004000319";"Added to burn in system.";0;0
189;"a1956";"2019-10-24 11:35:40";"Added to waiting list burn in";"30N004000116";"Added to burn in system.";0;0
190;"a1956";"2019-10-24 11:35:43";"Added to waiting list burn in";"30N004000338";"Added to burn in system.";0;0
191;"a1956";"2019-10-24 11:35:47";"Added to waiting list burn in";"30N004000395";"Added to burn in system.";0;0
192;"a1956";"2019-10-24 11:35:50";"Added to waiting list burn in";"30N004000198";"Added to burn in system.";0;0
193;"a1956";"2019-10-24 11:35:54";"Added to waiting list burn in";"30N004000128";"Added to burn in system.";0;0
194;"a1956";"2019-10-24 11:35:58";"Added to waiting list burn in";"30N004000189";"Added to burn in system.";0;0
195;"a1956";"2019-10-24 11:36:02";"Added to waiting list burn in";"30N004000000";"Added to burn in system.";0;0
196;"a1956";"2019-10-24 11:36:05";"Added to waiting list burn in";"30N004000083";"Added to burn in system.";0;0
197;"a1956";"2019-10-24 11:36:08";"Added to waiting list burn in";"30N004000199";"Added to burn in system.";0;0
198;"a1956";"2019-10-24 11:36:12";"Added to waiting list burn in";"30N004000140";"Added to burn in system.";0;0
199;"a1956";"2019-10-24 11:36:14";"Added to waiting list burn in";"30N004000240";"Added to burn in system.";0;0
200;"a1956";"2019-10-24 11:36:17";"Added to waiting list burn in";"30N004000230";"Added to burn in system.";0;0
201;"a1956";"2019-10-24 11:36:21";"Added to waiting list burn in";"30N004000064";"Added to burn in system.";0;0
202;"a1956";"2019-10-24 11:36:27";"Added to waiting list burn in";"30N004000139";"Added to burn in system.";0;0
203;"a1956";"2019-10-24 11:36:30";"Added to waiting list burn in";"30N004000200";"Added to burn in system.";0;0
204;"a1956";"2019-10-24 11:36:34";"Added to waiting list burn in";"30N004000039";"Added to burn in system.";0;0
205;"a1956";"2019-10-24 11:50:48";"Burn In Station";"30N004000091";"Started Burn In Process";0;0
206;"a1956";"2019-10-24 11:50:48";"Burn In Station";"30N004000206";"Started Burn In Process";0;0
207;"a1956";"2019-10-24 11:50:48";"Burn In Station";"30N004000306";"Started Burn In Process";0;0
208;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000058";"Started Burn In Process";0;0
209;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000392";"Started Burn In Process";0;0
210;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000402";"Started Burn In Process";0;0
211;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000194";"Started Burn In Process";0;0
212;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000020";"Started Burn In Process";0;0
213;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000373";"Started Burn In Process";0;0
214;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000314";"Started Burn In Process";0;0
215;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000143";"Started Burn In Process";0;0
216;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000225";"Started Burn In Process";0;0
217;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000093";"Started Burn In Process";0;0
218;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000374";"Started Burn In Process";0;0
219;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000101";"Started Burn In Process";0;0
220;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000141";"Started Burn In Process";0;0
221;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000334";"Started Burn In Process";0;0
222;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000188";"Started Burn In Process";0;0
223;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000213";"Started Burn In Process";0;0
224;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000367";"Started Burn In Process";0;0
225;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000081";"Started Burn In Process";0;0
226;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000211";"Started Burn In Process";0;0
227;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000072";"Started Burn In Process";0;0
228;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000346";"Started Burn In Process";0;0
229;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000236";"Started Burn In Process";0;0
230;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000118";"Started Burn In Process";0;0
231;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000078";"Started Burn In Process";0;0
232;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000239";"Started Burn In Process";0;0
233;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000313";"Started Burn In Process";0;0
234;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000126";"Started Burn In Process";0;0
235;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000325";"Started Burn In Process";0;0
236;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000110";"Started Burn In Process";0;0
237;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000013";"Started Burn In Process";0;0
238;"a1956";"2019-10-24 11:50:49";"Burn In Station";"30N004000319";"Started Burn In Process";0;0
239;"a1956";"2019-10-24 11:50:50";"Burn In Station";"30N004000116";"Started Burn In Process";0;0
240;"a1956";"2019-10-24 11:50:50";"Burn In Station";"30N004000338";"Started Burn In Process";0;0
241;"a1956";"2019-10-24 11:50:50";"Burn In Station";"30N004000395";"Started Burn In Process";0;0
242;"a1956";"2019-10-24 11:50:50";"Burn In Station";"30N004000198";"Started Burn In Process";0;0
243;"a1956";"2019-10-24 11:50:50";"Burn In Station";"30N004000128";"Started Burn In Process";0;0
244;"a1956";"2019-10-24 11:50:50";"Burn In Station";"30N004000189";"Started Burn In Process";0;0
245;"a1956";"2019-10-24 11:50:50";"Burn In Station";"30N004000000";"Started Burn In Process";0;0
246;"a1956";"2019-10-24 11:50:50";"Burn In Station";"30N004000083";"Started Burn In Process";0;0
247;"a1956";"2019-10-24 11:50:50";"Burn In Station";"30N004000199";"Started Burn In Process";0;0
248;"a1956";"2019-10-24 11:50:50";"Burn In Station";"30N004000140";"Started Burn In Process";0;0
249;"a1956";"2019-10-24 11:50:50";"Burn In Station";"30N004000240";"Started Burn In Process";0;0
250;"a1956";"2019-10-24 11:50:50";"Burn In Station";"30N004000230";"Started Burn In Process";0;0
